j1_1,j1_2,j1_3,j1_4,j1_5,j1_6,j2_1,j2_2,j2_3,j2_4,j2_5,j2_6,j1_l1,j1_l2,j2_l1,j2_l2
56,406,462,508,530,573,236,286,388,406,495,551,508,531,236,495
9,144,226,262,286,524,56,285,306,331,462,501,9,262,331,462
200,206,209,280,286,388,9,56,236,343,406,495,200,209,56,343
56,206,236,269,345,495,9,144,226,262,286,524,56,345,226,262
9,56,67,321,388,508,9,56,161,198,236,263,67,321,236,263
200,206,209,280,286,388,50,56,67,263,556,560,209,280,50,556
40,68,93,112,170,337,50,56,67,263,556,560,93,112,67,263
85,293,361,372,446,466,218,298,339,428,449,526,361,372,339,449
85,293,361,372,446,466,218,298,339,428,449,526,446,466,298,428
68,143,343,508,530,573,56,112,209,388,522,561,68,574,112,522
68,143,343,508,530,573,56,112,209,388,522,561,68,574,112,209
226,243,245,286,396,526,18,265,270,334,530,570,286,396,265,334
226,243,245,286,396,526,18,265,270,334,530,570,243,245,270,334
226,243,245,286,396,526,18,265,270,334,530,570,286,396,270,334
9,34,225,340,406,561,34,137,256,283,382,484,9,34,137,256
9,34,225,340,406,561,34,137,256,283,382,484,225,406,137,256
232,236,245,286,527,570,67,91,161,263,329,579,236,286,91,329
67,91,161,263,329,579,232,236,245,286,527,570,91,329,286,527
226,243,245,286,396,526,147,245,321,336,343,526,243,286,245,336
226,243,245,286,396,526,147,245,321,336,343,526,243,286,147,321
236,251,268,321,339,346,9,105,225,286,388,524,236,346,9,388
236,251,268,321,339,346,9,105,225,286,388,524,236,346,225,286
13,68,269,495,530,570,56,237,307,345,495,503,531,571,307,495
13,68,269,495,530,570,56,237,307,345,495,503,68,495,56,237
68,143,343,388,508,570,56,237,307,345,495,503,388,508,56,237
68,143,343,388,508,570,56,237,307,345,495,503,508,569,56,307
68,143,343,388,508,570,56,237,307,345,495,503,68,508,56,237
9,147,236,378,399,408,161,169,325,344,507,556,147,399,161,169
9,147,236,378,399,408,161,169,325,344,507,556,147,399,161,556
161,169,325,344,507,556,9,147,236,378,399,408,161,556,9,408
56,74,236,388,406,573,55,147,236,269,321,530,56,406,321,531
147,206,226,245,269,321,55,68,147,268,339,413,206,321,55,413
56,113,132,425,501,573,175,226,236,247,321,521,56,132,236,321
56,113,132,425,501,573,175,226,236,247,321,521,56,132,236,321
67,161,245,263,321,561,236,286,388,406,495,551,67,561,286,551
56,147,245,321,464,561,67,161,245,263,321,561,464,561,263,561
55,72,206,236,245,321,55,238,265,269,508,530,55,236,508,531
55,72,206,236,245,321,55,238,265,269,508,530,206,321,508,531
55,72,206,236,245,321,55,238,265,269,508,530,55,245,508,531
56,236,238,263,280,556,9,13,137,347,446,526,263,280,137,347
55,72,206,236,245,321,50,161,245,246,263,321,206,321,50,245
56,236,238,263,280,556,9,13,137,347,446,526,56,238,137,347
55,72,206,236,245,321,50,161,245,246,263,321,55,245,161,246
236,269,321,352,508,573,236,286,321,339,345,388,236,508,286,321
55,169,237,265,464,526,7,279,319,355,516,580,55,526,319,355
55,169,237,265,464,526,7,279,319,355,516,580,55,526,7,516
143,206,226,345,406,527,106,238,244,263,556,573,143,206,238,263
