j1_1,j1_2,j1_3,j1_4,j1_5,j1_6,j2_1,j2_2,j2_3,j2_4,j2_5,j2_6,j1_l1,j1_l2,j2_l1,j2_l2
Incineroar,Lunala,Raging Bolt,Rillaboom,Terapagos,Volcarona,Calyrex-Shadow,Incineroar,Ogerpon-Hearthflame,Raging Bolt,Rillaboom,Zamazenta-*,Lunala,Volcarona,Calyrex-Shadow,Zamazenta-Crowned
Incineroar,Lunala,Raging Bolt,Rillaboom,Terapagos,Volcarona,Calyrex-Shadow,Incineroar,Ogerpon-Hearthflame,Raging Bolt,Rillaboom,Zamazenta-*,Terapagos,Volcarona,Calyrex-Shadow,Incineroar
Brute Bonnet,Calyrex-Shadow,Chi-Yu,Indeedee-F,Koraidon,Whimsicott,Grimmsnarl,Incineroar,Lunala,Miraidon,Ursaluna,Urshifu-*,Chi-Yu,Koraidon,Incineroar,Lunala
Brute Bonnet,Calyrex-Shadow,Chi-Yu,Indeedee-F,Koraidon,Whimsicott,Grimmsnarl,Incineroar,Lunala,Miraidon,Ursaluna,Urshifu-*,Brute Bonnet,Indeedee-F,Incineroar,Miraidon
Brute Bonnet,Calyrex-Shadow,Chi-Yu,Indeedee-F,Koraidon,Whimsicott,Grimmsnarl,Incineroar,Lunala,Miraidon,Ursaluna,Urshifu-*,Calyrex-Shadow,Indeedee-F,Incineroar,Miraidon
Calyrex-Shadow,Ogerpon-Hearthflame,Raging Bolt,Rillaboom,Tornadus,Zamazenta-*,Calyrex-Shadow,Ogerpon-Hearthflame,Raging Bolt,Rillaboom,Smeargle,Zamazenta-*,Ogerpon-Hearthflame,Zamazenta-Crowned,Calyrex-Shadow,Raging Bolt
Calyrex-Shadow,Ogerpon-Hearthflame,Raging Bolt,Rillaboom,Tornadus,Zamazenta-*,Calyrex-Shadow,Ogerpon-Hearthflame,Raging Bolt,Rillaboom,Smeargle,Zamazenta-*,Ogerpon-Hearthflame,Zamazenta-Crowned,Calyrex-Shadow,Raging Bolt
Jumpluff,Meowstic,Pyroar,Rampardos,Sneasel-Hisui,Zangoose,Heliolisk,Jumpluff,Meowstic,Pyroar,Rampardos,Sneasel-Hisui,Meowstic,Sneasel-Hisui,Jumpluff,Sneasel-Hisui
Jumpluff,Meowstic,Pyroar,Rampardos,Sneasel-Hisui,Zangoose,Heliolisk,Jumpluff,Meowstic,Pyroar,Rampardos,Sneasel-Hisui,Jumpluff,Meowstic,Meowstic,Rampardos
Heliolisk,Jumpluff,Meowstic,Pyroar,Rampardos,Sneasel-Hisui,Drifblim,Meowstic,Rampardos,Silvally-*,Sneasel-Hisui,Zangoose,Meowstic,Rampardos,Drifblim,Meowstic
Heliolisk,Jumpluff,Meowstic,Pyroar,Rampardos,Sneasel-Hisui,Drifblim,Meowstic,Rampardos,Silvally-*,Sneasel-Hisui,Zangoose,Meowstic,Pyroar,Meowstic,Silvally-Fairy
Arbok,Dewgong,Lunatone,Meowstic,Pyroar,Rampardos,Dewgong,Kecleon,Ludicolo,Meowstic,Sneasel-Hisui,Tinkaton,Dewgong,Meowstic,Ludicolo,Sneasel-Hisui
Arbok,Dewgong,Lunatone,Meowstic,Pyroar,Rampardos,Dewgong,Kecleon,Ludicolo,Meowstic,Sneasel-Hisui,Tinkaton,Arbok,Meowstic,Kecleon,Sneasel-Hisui
Arbok,Dewgong,Lunatone,Meowstic,Pyroar,Rampardos,Dewgong,Kecleon,Ludicolo,Meowstic,Sneasel-Hisui,Tinkaton,Dewgong,Lunatone,Meowstic,Sneasel-Hisui
Armaldo,Castform,Heliolisk,Ludicolo,Meowstic,Sneasel-Hisui,Heliolisk,Jumpluff,Meowstic,Pyroar,Rampardos,Sneasel-Hisui,Armaldo,Meowstic,Meowstic,Rampardos
Armaldo,Castform,Heliolisk,Ludicolo,Meowstic,Sneasel-Hisui,Heliolisk,Jumpluff,Meowstic,Pyroar,Rampardos,Sneasel-Hisui,Castform,Heliolisk,Meowstic,Rampardos
Armaldo,Castform,Heliolisk,Ludicolo,Meowstic,Sneasel-Hisui,Heliolisk,Jumpluff,Meowstic,Pyroar,Rampardos,Sneasel-Hisui,Heliolisk,Meowstic,Meowstic,Sneasel-Hisui
Arbok,Dewgong,Lunatone,Meowstic,Pyroar,Rampardos,Gumshoos,Heliolisk,Jumpluff,Meowstic,Rampardos,Sneasel-Hisui,Lunatone,Meowstic,Meowstic,Sneasel-Hisui
Arbok,Dewgong,Lunatone,Meowstic,Pyroar,Rampardos,Gumshoos,Heliolisk,Jumpluff,Meowstic,Rampardos,Sneasel-Hisui,Dewgong,Pyroar,Meowstic,Sneasel-Hisui
Arbok,Dewgong,Lunatone,Meowstic,Pyroar,Rampardos,Gumshoos,Heliolisk,Jumpluff,Meowstic,Rampardos,Sneasel-Hisui,Lunatone,Meowstic,Jumpluff,Meowstic
Calyrex-Ice,Groudon,Iron Valiant,Regieleki,Roaring Moon,Urshifu-*,Annihilape,Cresselia,Enamorus-Therian,Kyogre,Raichu,Zamazenta-*,Calyrex-Ice,Roaring Moon,Cresselia,Zamazenta-Crowned
Calyrex-Ice,Groudon,Iron Valiant,Regieleki,Roaring Moon,Urshifu-*,Annihilape,Cresselia,Enamorus-Therian,Kyogre,Raichu,Zamazenta-*,Calyrex-Ice,Roaring Moon,Annihilape,Raichu
Calyrex-Shadow,Chi-Yu,Gothitelle,Ogerpon-Hearthflame,Rayquaza,Scream Tail,Eternatus,Ho-Oh,Ogerpon-Wellspring,Spectrier,Ting-Lu,Ursaluna-Bloodmoon,Ogerpon-Hearthflame,Scream Tail,Eternatus,Spectrier
Calyrex-Shadow,Chi-Yu,Gothitelle,Ogerpon-Hearthflame,Rayquaza,Scream Tail,Eternatus,Ho-Oh,Ogerpon-Wellspring,Spectrier,Ting-Lu,Ursaluna-Bloodmoon,Calyrex-Shadow,Rayquaza,Spectrier,Ursaluna-Bloodmoon
Calyrex-Shadow,Chi-Yu,Gothitelle,Ogerpon-Hearthflame,Rayquaza,Scream Tail,Eternatus,Ho-Oh,Ogerpon-Wellspring,Spectrier,Ting-Lu,Ursaluna-Bloodmoon,Calyrex-Shadow,Rayquaza,Eternatus,Ogerpon-Wellspring
Amoonguss,Baxcalibur,Farigiraf,Garchomp,Ninetales-Alola,Porygon2,Charizard,Dragonite,Incineroar,Meowstic,Overqwil,Scovillain,Garchomp,Porygon2,Dragonite,Overqwil
Charizard,Dragonite,Incineroar,Meowstic,Overqwil,Scovillain,Amoonguss,Baxcalibur,Farigiraf,Garchomp,Ninetales-Alola,Porygon2,Incineroar,Overqwil,Baxcalibur,Porygon2
Brute Bonnet,Calyrex-Shadow,Incineroar,Koraidon,Landorus,Raging Bolt,Amoonguss,Calyrex-Ice,Farigiraf,Iron Hands,Miraidon,Urshifu-*,Calyrex-Shadow,Incineroar,Amoonguss,Calyrex-Ice
Calyrex-Ice,Incineroar,Landorus,Miraidon,Urshifu-*,Whimsicott,Brute Bonnet,Calyrex-Shadow,Incineroar,Koraidon,Landorus,Raging Bolt,Miraidon,Whimsicott,Calyrex-Shadow,Incineroar
Brute Bonnet,Calyrex-Shadow,Incineroar,Koraidon,Landorus,Raging Bolt,Chien-Pao,Grimmsnarl,Iron Hands,Miraidon,Volcarona,Zamazenta-*,Incineroar,Koraidon,Grimmsnarl,Miraidon
Entei,Giratina,Glimmora,Kyogre,Regieleki,Wo-Chien,Brute Bonnet,Calyrex-Shadow,Incineroar,Koraidon,Landorus,Raging Bolt,Glimmora,Regieleki,Calyrex-Shadow,Landorus
Incineroar,Iron Valiant,Lunala,Tyranitar,Ursaluna,Zacian-*,Calyrex-Ice,Dondozo,Incineroar,Landorus,Miraidon,Tatsugiri,Iron Valiant,Zacian-Crowned,Calyrex-Ice,Miraidon
Calyrex-Shadow,Chi-Yu,Clefairy,Flutter Mane,Koraidon,Rillaboom,Amoonguss,Flutter Mane,Incineroar,Koraidon,Lunala,Ursaluna,Flutter Mane,Rillaboom,Incineroar,Lunala
Brute Bonnet,Calyrex-Shadow,Incineroar,Koraidon,Landorus,Raging Bolt,Basculegion,Calyrex-Ice,Flutter Mane,Kyogre,Rillaboom,Tornadus,Calyrex-Shadow,Raging Bolt,Calyrex-Ice,Flutter Mane
Chien-Pao,Grimmsnarl,Iron Hands,Miraidon,Volcarona,Zamazenta-*,Groudon,Incineroar,Jumpluff,Raging Bolt,Terapagos,Urshifu-*,Grimmsnarl,Miraidon,Groudon,Jumpluff
Incineroar,Lunala,Miraidon,Ursaluna,Urshifu-*,Whimsicott,Calyrex-Shadow,Ogerpon-Hearthflame,Raging Bolt,Rillaboom,Tornadus,Zamazenta-*,Lunala,Miraidon,Calyrex-Shadow,Ogerpon-Hearthflame
Incineroar,Lunala,Miraidon,Ursaluna,Urshifu-*,Whimsicott,Calyrex-Shadow,Ogerpon-Hearthflame,Raging Bolt,Rillaboom,Tornadus,Zamazenta-*,Lunala,Miraidon,Ogerpon-Hearthflame,Zamazenta-Crowned
Calyrex-Shadow,Gastrodon,Groudon,Incineroar,Murkrow,Thundurus,Incineroar,Lunala,Miraidon,Ursaluna,Urshifu-*,Whimsicott,Groudon,Murkrow,Lunala,Miraidon
Incineroar,Lunala,Miraidon,Ursaluna,Urshifu-*,Whimsicott,Calyrex-Shadow,Gastrodon,Groudon,Incineroar,Murkrow,Thundurus,Incineroar,Lunala,Groudon,Murkrow
Flutter Mane,Groudon,Ogerpon-Hearthflame,Rillaboom,Solgaleo,Zapdos-Galar,Amoonguss,Calyrex-Ice,Dondozo,Tatsugiri-Droopy,Ursaluna-Bloodmoon,Urshifu-*,Groudon,Zapdos-Galar,Dondozo,Urshifu
