j1_1,j1_2,j1_3,j1_4,j1_5,j1_6,j2_1,j2_2,j2_3,j2_4,j2_5,j2_6,j1_l1,j1_l2,j2_l1,j2_l2
Abomasnow,Armarouge,Beartic,Cetitan,Magmar,Mismagius,Basculin,Garganacl,Haxorus,Meowscarada,Talonflame,Toxtricity,Abomasnow,Cetitan,Haxorus,Toxtricity
Abomasnow,Armarouge,Beartic,Cetitan,Magmar,Mismagius,Basculin,Garganacl,Haxorus,Meowscarada,Talonflame,Toxtricity,Abomasnow,Cetitan,Basculin,Meowscarada
Klefki,Lunala,Miraidon,Moltres-Galar,Pelipper,Ursaluna,Calyrex-Ice,Flamigo,Kyogre,Maushold,Smeargle,Volcarona,Klefki,Lunala,Calyrex-Ice,Smeargle
Calyrex-Shadow,Incineroar,Ogerpon-Hearthflame,Raging Bolt,Rillaboom,Zamazenta-*,Incineroar,Landorus,Miraidon,Urshifu-*,Whimsicott,Zacian-*,Calyrex-Shadow,Rillaboom,Incineroar,Landorus
Armaldo,Castform,Heliolisk,Ludicolo,Meowstic,Sneasel-Hisui,Heliolisk,Jumpluff,Meowstic,Pyroar,Rampardos,Sneasel-Hisui,Armaldo,Castform,Meowstic,Rampardos
Armaldo,Castform,Heliolisk,Ludicolo,Meowstic,Sneasel-Hisui,Heliolisk,Jumpluff,Meowstic,Pyroar,Rampardos,Sneasel-Hisui,Armaldo,Meowstic,Meowstic,Rampardos
Armaldo,Castform,Heliolisk,Ludicolo,Meowstic,Sneasel-Hisui,Heliolisk,Jumpluff,Meowstic,Pyroar,Rampardos,Sneasel-Hisui,Ludicolo,Meowstic,Meowstic,Rampardos
Arctibax,Avalugg,Frosmoth,Kyurem-Black,Tatsugiri,Zekrom,Bisharp,Calyrex-Shadow,Chi-Yu,Dialga,Munkidori,Porygon2,Frosmoth,Kyurem-Black,Calyrex-Shadow,Dialga
Jumpluff,Luxray,Primeape,Pyroar,Silvally-*,Sneasel-Hisui,Jumpluff,Primeape,Silvally-*,Sneasel-Hisui,Tinkaton,Whiscash,Jumpluff,Silvally-Fairy,Sneasel-Hisui,Whiscash
Jumpluff,Luxray,Primeape,Pyroar,Silvally-*,Sneasel-Hisui,Jumpluff,Primeape,Silvally-*,Sneasel-Hisui,Tinkaton,Whiscash,Jumpluff,Luxray,Sneasel-Hisui,Whiscash
Glalie,Jumpluff,Meowstic,Primeape,Pyroar,Tinkaton,Arbok,Armaldo,Drifblim,Emolga,Furret,Ludicolo,Glalie,Meowstic,Furret,Ludicolo
Glalie,Jumpluff,Meowstic,Primeape,Pyroar,Tinkaton,Arbok,Armaldo,Drifblim,Emolga,Furret,Ludicolo,Glalie,Meowstic,Drifblim,Ludicolo
Glalie,Jumpluff,Meowstic,Primeape,Pyroar,Tinkaton,Arbok,Armaldo,Drifblim,Emolga,Furret,Ludicolo,Glalie,Jumpluff,Drifblim,Ludicolo
Annihilape,Calyrex-Ice,Farigiraf,Gastrodon,Incineroar,Miraidon,Amoonguss,Chien-Pao,Kyogre,Roaring Moon,Urshifu-*,Zacian-*,Annihilape,Calyrex-Ice,Amoonguss,Roaring Moon
Arbok,Emolga,Luxray,Scovillain,Sneasel-Hisui,Tinkaton,Jumpluff,Primeape,Silvally-*,Sneasel-Hisui,Tinkaton,Whiscash,Emolga,Scovillain,Primeape,Sneasel-Hisui
Arbok,Emolga,Luxray,Scovillain,Sneasel-Hisui,Tinkaton,Jumpluff,Primeape,Silvally-*,Sneasel-Hisui,Tinkaton,Whiscash,Scovillain,Tinkaton,Primeape,Sneasel-Hisui
