j1_1,j1_2,j1_3,j1_4,j1_5,j1_6,j2_1,j2_2,j2_3,j2_4,j2_5,j2_6,j1_l1,j1_l2,j2_l1,j2_l2
abomasnow,armarouge,beartic,cetitan,magmar,mismagius,basculin,garganacl,haxorus,meowscarada,talonflame,toxtricity,abomasnow,cetitan,haxorus,toxtricity
abomasnow,armarouge,beartic,cetitan,magmar,mismagius,basculin,garganacl,haxorus,meowscarada,talonflame,toxtricity,abomasnow,cetitan,basculin,meowscarada
klefki,lunala,miraidon,moltresgalar,pelipper,ursaluna,calyrexice,flamigo,kyogre,maushold,smeargle,volcarona,klefki,lunala,calyrexice,smeargle
calyrexshadow,incineroar,ogerponhearthflame,ragingbolt,rillaboom,zamazentacrowned,incineroar,landorus,miraidon,urshifurapidstrike,whimsicott,zaciancrowned,calyrexshadow,rillaboom,incineroar,landorus
armaldo,castform,heliolisk,ludicolo,meowstic,sneaselhisui,heliolisk,jumpluff,meowstic,pyroar,rampardos,sneaselhisui,armaldo,castform,meowstic,rampardos
armaldo,castform,heliolisk,ludicolo,meowstic,sneaselhisui,heliolisk,jumpluff,meowstic,pyroar,rampardos,sneaselhisui,armaldo,meowstic,meowstic,rampardos
armaldo,castform,heliolisk,ludicolo,meowstic,sneaselhisui,heliolisk,jumpluff,meowstic,pyroar,rampardos,sneaselhisui,ludicolo,meowstic,meowstic,rampardos
arctibax,avalugg,frosmoth,kyuremblack,tatsugiri,zekrom,bisharp,calyrexshadow,chiyu,dialga,munkidori,porygon2,frosmoth,kyuremblack,calyrexshadow,dialga
jumpluff,luxray,primeape,pyroar,silvally,sneaselhisui,jumpluff,primeape,silvally,sneaselhisui,tinkaton,whiscash,jumpluff,silvallyfairy,sneaselhisui,whiscash
jumpluff,luxray,primeape,pyroar,silvally,sneaselhisui,jumpluff,primeape,silvally,sneaselhisui,tinkaton,whiscash,jumpluff,luxray,sneaselhisui,whiscash
glalie,jumpluff,meowstic,primeape,pyroar,tinkaton,arbok,armaldo,drifblim,emolga,furret,ludicolo,glalie,meowstic,furret,ludicolo
glalie,jumpluff,meowstic,primeape,pyroar,tinkaton,arbok,armaldo,drifblim,emolga,furret,ludicolo,glalie,meowstic,drifblim,ludicolo
glalie,jumpluff,meowstic,primeape,pyroar,tinkaton,arbok,armaldo,drifblim,emolga,furret,ludicolo,glalie,jumpluff,drifblim,ludicolo
annihilape,calyrexice,farigiraf,gastrodon,incineroar,miraidon,amoonguss,chienpao,kyogre,roaringmoon,urshifurapidstrike,zaciancrowned,annihilape,calyrexice,amoonguss,roaringmoon
arbok,emolga,luxray,scovillain,sneaselhisui,tinkaton,jumpluff,primeape,silvally,sneaselhisui,tinkaton,whiscash,emolga,scovillain,primeape,sneaselhisui
arbok,emolga,luxray,scovillain,sneaselhisui,tinkaton,jumpluff,primeape,silvally,sneaselhisui,tinkaton,whiscash,scovillain,tinkaton,primeape,sneaselhisui
calyrexshadow,chiyu,chienpao,orthworm,sableye,ursalunabloodmoon,cinccino,dialgaorigin,koraidon,landorustherian,roaringmoon,weavile,chiyu,sableye,landorustherian,roaringmoon
calyrexshadow,chiyu,chienpao,orthworm,sableye,ursalunabloodmoon,cinccino,dialgaorigin,koraidon,landorustherian,roaringmoon,weavile,orthworm,sableye,koraidon,weavile
glastrier,gougingfire,ironhands,kyuremwhite,oranguru,urshifurapidstrike,calyrexshadow,chiyu,chienpao,orthworm,sableye,ursalunabloodmoon,kyuremwhite,oranguru,orthworm,sableye
