j1_1,j1_2,j1_3,j1_4,j1_5,j1_6,j2_1,j2_2,j2_3,j2_4,j2_5,j2_6,j1_l1,j1_l2,j2_l1,j2_l2
incineroar,lunala,ragingbolt,rillaboom,terapagos,volcarona,calyrexshadow,incineroar,ogerponhearthflame,ragingbolt,rillaboom,zamazentacrowned,lunala,volcarona,calyrexshadow,zamazentacrowned
incineroar,lunala,ragingbolt,rillaboom,terapagos,volcarona,calyrexshadow,incineroar,ogerponhearthflame,ragingbolt,rillaboom,zamazentacrowned,terapagos,volcarona,calyrexshadow,incineroar
brutebonnet,calyrexshadow,chiyu,indeedeef,koraidon,whimsicott,grimmsnarl,incineroar,lunala,miraidon,ursaluna,urshifurapidstrike,chiyu,koraidon,incineroar,lunala
brutebonnet,calyrexshadow,chiyu,indeedeef,koraidon,whimsicott,grimmsnarl,incineroar,lunala,miraidon,ursaluna,urshifurapidstrike,brutebonnet,indeedeef,incineroar,miraidon
brutebonnet,calyrexshadow,chiyu,indeedeef,koraidon,whimsicott,grimmsnarl,incineroar,lunala,miraidon,ursaluna,urshifurapidstrike,calyrexshadow,indeedeef,incineroar,miraidon
calyrexshadow,ogerponhearthflame,ragingbolt,rillaboom,tornadus,zamazentacrowned,calyrexshadow,ogerponhearthflame,ragingbolt,rillaboom,smeargle,zamazentacrowned,ogerponhearthflame,zamazentacrowned,calyrexshadow,ragingbolt
calyrexshadow,ogerponhearthflame,ragingbolt,rillaboom,tornadus,zamazentacrowned,calyrexshadow,ogerponhearthflame,ragingbolt,rillaboom,smeargle,zamazentacrowned,ogerponhearthflame,zamazentacrowned,calyrexshadow,ragingbolt
jumpluff,meowstic,pyroar,rampardos,sneaselhisui,zangoose,heliolisk,jumpluff,meowstic,pyroar,rampardos,sneaselhisui,meowstic,sneaselhisui,jumpluff,sneaselhisui
jumpluff,meowstic,pyroar,rampardos,sneaselhisui,zangoose,heliolisk,jumpluff,meowstic,pyroar,rampardos,sneaselhisui,jumpluff,meowstic,meowstic,rampardos
heliolisk,jumpluff,meowstic,pyroar,rampardos,sneaselhisui,drifblim,meowstic,rampardos,silvally,sneaselhisui,zangoose,meowstic,rampardos,drifblim,meowstic
